price      , date          , volume
MYR RM3.82 , "Sep 8, 2023" , 2.5M
MYR RM3.82 , "Sep 8, 2023" , 2.5M
MYR RM3.75 , "Sep 15, 2023", 17M
MYR RM3.75 , "Sep 15, 2023", 17M
MYR RM3.75 , "Sep 15, 2023", 17M
MYR RM3.77 , "Sep 22, 2023", 2.4M
MYR RM3.77 , "Sep 22, 2023", 2.4M
MYR RM3.72 , "Sep 29, 2023", 724K
MYR RM3.72 , "Sep 29, 2023", 724K
MYR RM3.61 , "Oct 6, 2023" , 1.6M
MYR RM3.61 , "Oct 6, 2023" , 1.6M
MYR RM3.61 , "Oct 6, 2023" , 1.6M
MYR RM3.57 , "Oct 13, 2023", 789K
MYR RM3.57 , "Oct 13, 2023", 789K
MYR RM3.56 , "Oct 20, 2023", 566K
MYR RM3.56 , "Oct 20, 2023", 566K
MYR RM3.46 , "Oct 27, 2023", 2.4M
MYR RM3.46 , "Oct 27, 2023", 2.4M
MYR RM3.46 , "Oct 27, 2023", 2.4M
MYR RM3.40 , "Nov 3, 2023" , 1.7M
MYR RM3.40 , "Nov 3, 2023" , 1.7M
MYR RM3.40 , "Nov 10, 2023", 5.8M
MYR RM3.40 , "Nov 10, 2023", 5.8M
MYR RM3.40 , "Nov 17, 2023", 2.5M
MYR RM3.40 , "Nov 17, 2023", 2.5M
MYR RM3.40 , "Nov 17, 2023", 2.5M
MYR RM3.48 , "Nov 24, 2023", 2.5M
MYR RM3.48 , "Nov 24, 2023", 2.5M
MYR RM3.49 , "Dec 1, 2023" , 1.2M
MYR RM3.49 , "Dec 1, 2023" , 1.2M
MYR RM3.49 , "Dec 1, 2023" , 1.2M
MYR RM3.67 , "Dec 8, 2023" , 834K
MYR RM3.67 , "Dec 8, 2023" , 834K
MYR RM3.61 , "Dec 15, 2023", 703K
MYR RM3.61 , "Dec 15, 2023", 703K
MYR RM3.63 , "Dec 22, 2023", 486K
MYR RM3.63 , "Dec 22, 2023", 486K
MYR RM3.63 , "Dec 22, 2023", 486K
MYR RM3.65 , "Dec 29, 2023", 244K
MYR RM3.65 , "Dec 29, 2023", 244K
MYR RM3.57 , "Jan 5, 2024" , 749K
MYR RM3.57 , "Jan 5, 2024" , 749K
MYR RM3.63 , "Jan 12, 2024", 1.3M
MYR RM3.63 , "Jan 12, 2024", 1.3M
MYR RM3.63 , "Jan 12, 2024", 1.3M
MYR RM3.61 , "Jan 19, 2024", 1.8M
MYR RM3.61 , "Jan 19, 2024", 1.8M
MYR RM3.47 , "Jan 26, 2024", 1.2M
MYR RM3.47 , "Jan 26, 2024", 1.2M
MYR RM3.48 , "Feb 2, 2024" , 3M
MYR RM3.48 , "Feb 2, 2024" , 3M
MYR RM3.48 , "Feb 2, 2024" , 3M
MYR RM3.51 , "Feb 16, 2024", 1.7M
MYR RM3.51 , "Feb 16, 2024", 1.7M
MYR RM3.79 , "Feb 23, 2024", 4.1M
MYR RM3.79 , "Feb 23, 2024", 4.1M
MYR RM3.75 , "Mar 1, 2024" , 5.1M
MYR RM3.75 , "Mar 1, 2024" , 5.1M
MYR RM3.75 , "Mar 1, 2024" , 5.1M
MYR RM3.61 , "Mar 8, 2024" , 1.1M
MYR RM3.61 , "Mar 8, 2024" , 1.1M
MYR RM3.60 , "Mar 15, 2024", 821K
MYR RM3.60 , "Mar 15, 2024", 821K
MYR RM3.73 , "Mar 22, 2024", 3M
MYR RM3.73 , "Mar 22, 2024", 3M
MYR RM3.73 , "Mar 22, 2024", 3M
MYR RM3.79 , "Mar 29, 2024", 3.2M
MYR RM3.79 , "Mar 29, 2024", 3.2M
MYR RM3.87 , "Apr 5, 2024" , 2.3M
MYR RM3.87 , "Apr 5, 2024" , 2.3M
MYR RM3.89 , "Apr 12, 2024", 350K
MYR RM3.89 , "Apr 12, 2024", 350K
MYR RM3.89 , "Apr 12, 2024", 350K
MYR RM3.88 , "Apr 19, 2024", 1.6M
MYR RM3.88 , "Apr 19, 2024", 1.6M
MYR RM3.70 , "Apr 26, 2024", 7M
MYR RM3.70 , "Apr 26, 2024", 7M
MYR RM3.70 , "May 3, 2024" , 4.5M
MYR RM3.70 , "May 3, 2024" , 4.5M
MYR RM3.70 , "May 3, 2024" , 4.5M
MYR RM3.66 , "May 10, 2024", 3.9M
MYR RM3.66 , "May 10, 2024", 3.9M
MYR RM3.84 , "May 17, 2024", 1.9M
MYR RM3.84 , "May 17, 2024", 1.9M
MYR RM3.85 , "May 24, 2024", 1.9M
MYR RM3.85 , "May 24, 2024", 1.9M
MYR RM3.85 , "May 24, 2024", 1.9M
MYR RM3.79 , "May 31, 2024", 2.1M
MYR RM3.79 , "May 31, 2024", 2.1M
MYR RM3.97 , "Jun 7, 2024" , 1.5M
MYR RM3.97 , "Jun 7, 2024" , 1.5M
MYR RM4.60 , "Jun 14, 2024", 33M
MYR RM4.60 , "Jun 14, 2024", 33M
MYR RM4.60 , "Jun 14, 2024", 33M
MYR RM4.35 , "Jun 21, 2024", 15M
MYR RM4.35 , "Jun 21, 2024", 15M
MYR RM4.12 , "Jun 28, 2024", 11M
MYR RM4.12 , "Jun 28, 2024", 11M
MYR RM4.12 , "Jun 28, 2024", 11M
MYR RM4.16 , "Jul 5, 2024" , 15M
MYR RM4.16 , "Jul 5, 2024" , 15M
